POP_TOT_2022,Max di 2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
6134,600,309,13,50,3961525921096
5241,600,601,13,114,697576798321
3667,600,260,61,71,0689937278429
16211,600,836,42,51,5958299919808
3480,600,144,79,41,6063218390805
3546,605,338,67,95,507614213198
11345,605,469,35,41,3706478624945
4727,605,237,75,50,2961709329384
3282,605,247,19,75,3168799512492
3753,610,377,25,100,519584332534
3246,610,145,53,44,8336414048059
5961,610,238,09,39,9412850192921
4191,610,238,88,56,9983297542353
6865,610,275,11,40,0742898761835
3598,610,198,98,55,3029460811562
3293,612,5,267,29,81,1691466747646
4288,615,312,67,72,9174440298507
3428,615,200,97,58,6260210035006
3284,615,242,19,73,7484774665043
3591,615,189,46,52,7596769702033
8620,620,441,53,51,2215777262181
4188,620,259,44,61,9484240687679
3190,625,324,56,101,742946708464
3231,625,286,81,88,7681832250077
3263,625,205,69,63,0370824394729
4901,625,243,36,49,6551724137931
4012,625,161,96,40,3688933200399
4623,625,203,43,44,0038935756003
6741,625,268,71,39,8620382732532
3042,625,133,96,44,0368178829717
13986,625,1106,17,79,0912340912341
5563,625,374,26,67,2766492899515
3946,625,212,54,53,8621388748099
9885,625,457,77,46,309559939302
5854,625,371,13,63,3976768021866
4441,625,444,94,100,189146588606
4488,625,203,55,45,3542780748663
12184,625,672,93,55,2306303348654
4995,625,345,27,69,1231231231231
8298,625,454,23,54,7396963123644
3356,625,142,36,42,419547079857
3051,625,201,86,66,1619141265159
4095,630,126,4,30,8669108669109
3182,630,249,89,78,5323695788812
3972,630,112,67,28,3660624370594
4665,630,226,53,48,5594855305466
3746,630,159,16,42,4879871863321
5199,630,168,42,32,3946912867859
13482,630,751,07,55,7090936062899
6032,630,394,13,65,3398541114058
6635,630,290,33,43,7573474001507
14639,630,358,55,24,4927932235808
6243,630,433,68,69,4666025949063
4780,635,366,64,76,7029288702929
10011,635,938,37,93,7338927180102
3641,640,242,21,66,5229332600934
3092,640,119,81,38,748382923674
4198,645,277,64,66,1362553596951
5691,645,309,33,54,3542435424354
4999,645,237,67,47,5435087017403
3870,645,166,22,42,9509043927649
3631,645,174,05,47,934453318645
3863,645,190,6,49,3398912762102
3832,645,247,01,64,4598121085595
5588,645,522,6,93,5218324982105
8024,645,564,01,70,2903788634098
4594,650,398,89,86,8284719198955
7112,650,548,47,77,1189538807649
7156,650,464,71,64,9399105645612
4926,650,383,99,77,9516849370686
4531,650,285,91,63,1008607371441
3455,650,102,08,29,5455861070912
6220,650,927,77,149,159163987138
19372,650,1198,39,61,861965723725
10993,650,1176,71,107,041753843355
4857,650,366,32,75,4210417953469
4753,650,283,48,59,6423311592678
5721,650,211,23,36,9218668065024
5261,650,630,91,119,9220680479
10493,650,702,67,66,9655961116935
4546,650,178,21,39,2014958205015
4836,650,173,53,35,8829611248966
3777,655,348,87,92,3669579030977
10956,655,806,58,73,6199342825849
3577,655,96,23,26,902432205759
3071,655,222,8,72,5496580918268
6310,655,470,63,74,5847860538827
5059,655,156,18,30,8717137774264
3094,655,127,09,41,076276664512
3648,660,333,35,91,3788377192982
5421,660,307,04,56,6389964951116
3380,660,186,18,55,0828402366864
6311,660,267,8,42,4338456662969
6415,660,367,98,57,3624318004677
10631,660,985,77,92,72599002916
6441,660,491,83,76,3592609843192
3087,665,423,38,137,149335924846
3741,665,374,5,100,106923282545
5584,665,374,95,67,1472063037249
3554,665,318,23,89,5413618458075
3049,665,342,41,112,302394227616
4074,665,111,71,27,4202258222877
5399,665,279,63,51,7929246156696
6636,665,267,65,40,333031946956
3230,670,233,12,72,1733746130031
4181,670,473,63,113,281511600096
3365,670,220,05,65,3937592867756
6520,670,135,56,20,7914110429448
4449,670,180,28,40,5214654978647
6011,670,318,54,52,9928464481783
9175,670,659,11,71,8376021798365
11086,670,761,28,68,67039509291
5167,670,472,36,91,4186181536675
10581,670,381,36,0079387581514
3085,675,416,31,134,946515397083
3310,675,332,69,100,510574018127
3048,675,578,68,189,855643044619
3427,675,268,84,78,4476218266705
3652,675,361,55,99,0005476451259
3279,675,368,91,112,506861848124
3414,675,322,42,94,4405389572349
3505,675,324,14,92,4793152639087
3185,675,332,45,104,379905808477
3050,675,199,57,65,4327868852459
6583,675,487,14,73,9996961871487
6802,675,525,89,77,3140252866804
6640,675,586,41,88,3147590361446
4202,675,184,44,43,8933841028082
5430,675,337,91,62,2302025782689
4519,675,143,56,31,7680902854614
3848,675,131,13,34,0774428274428
4564,675,153,73,33,6831726555653
5518,675,266,27,48,2548024646611
5511,675,200,44,36,3708945744874
7216,675,516,23,71,5396341463415
6275,675,178,96,28,5195219123506
4936,675,174,79,35,4112641815235
7186,675,197,99,27,5521848037851
12617,675,753,34,59,7083300309107
5925,675,509,4,85,9746835443038
5707,675,357,19,62,5880497634484
5228,675,329,7,63,0642693190513
9630,675,650,17,67,515057113188
8672,675,416,27,48,0016143911439
19254,675,669,66,34,7803053910876
10082,675,536,46,53,2096806189248
7051,675,766,85,108,757623032194
16187,675,1565,05,96,6856119107926
7578,675,271,95,35,8867775138559
6243,675,258,03,41,3310908217203
3916,680,273,54,69,8518896833504
3743,680,388,85,103,887256211595
