POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
4267,700,269,63
4531,700,220,48
3202,700,103,32
7812,700,393,50
12139,700,285,24
5732,700,281,49
3016,700,303,101
4733,700,166,35
3271,700,121,37
6648,700,392,59
15095,700,1073,71
3345,700,119,35
3231,700,188,58
3692,700,109,29
3842,700,179,47
3614,700,131,36
3101,705,103,33
11922,705,484,41
9932,705,489,49
4295,710,270,63
5272,710,395,75
6329,710,560,88
3271,710,357,109
5178,710,347,67
3230,710,252,78
4534,710,380,84
5946,710,543,91
3759,710,257,68
3054,710,295,97
4069,710,327,80
5140,710,583,113
5782,710,559,97
4824,710,400,83
6854,710,269,39
3423,710,163,48
3608,710,188,52
13156,710,715,54
8796,710,275,31
6304,710,296,47
6180,710,424,69
5792,710,199,34
4661,715,204,44
3754,715,53,14
6971,715,270,39
9628,715,525,55
6739,715,528,78
4388,715,332,76
7162,720,930,130
4513,720,383,85
3415,720,149,44
4038,720,286,71
3650,720,146,40
6796,720,351,52
5672,720,281,50
6163,720,440,71
6355,720,405,64
7636,725,709,93
7596,725,674,89
3817,725,358,94
6363,725,441,69
5551,725,455,82
3587,725,252,70
3410,725,273,80
4999,725,221,44
8423,725,185,22
3069,725,126,41
6782,725,464,68
4164,725,229,55
16106,725,851,53
4283,725,634,148
4677,725,201,43
12000,725,526,44
18307,725,1076,59
9128,725,625,68
7453,725,358,48
8421,725,519,62
6619,725,352,53
4350,725,172,40
3777,725,196,52
11134,725,565,51
4581,725,165,36
3440,725,120,35
4151,730,113,27
3701,730,136,37
11551,730,757,66
8075,735,748,93
5497,735,455,83
3558,735,223,63
4601,735,163,35
8963,735,335,37
10743,735,741,69
3985,735,107,27
3261,740,231,71
3141,740,179,57
8219,740,469,57
5719,745,433,76
3064,750,276,90
3777,750,261,69
6080,750,602,99
4562,750,400,88
4180,750,347,83
4751,750,320,67
3054,750,222,73
7271,750,607,84
7507,750,636,85
8744,750,932,107
3007,750,244,81
8663,750,616,71
4096,750,336,82
5353,750,353,66
6716,750,432,64
7760,750,525,68
10001,750,629,63
3451,750,210,61
3751,750,544,145
6848,750,609,89
4436,750,353,80
4160,750,198,47
4072,750,174,43
6975,750,332,48
4154,750,178,43
3020,750,150,50
6409,750,390,61
7390,750,218,29
3357,750,97,29
4515,750,176,39
5761,750,319,55
3206,750,186,58
7220,750,378,52
3563,750,262,74
16869,750,1187,70
15423,750,751,49
4165,750,587,141
4788,750,280,58
4428,750,203,46
6387,750,487,76
3853,750,153,40
13317,750,524,39
4298,755,382,89
6846,755,443,65
14569,755,855,59
4080,755,283,69
3094,760,544,176
3386,760,345,102
7440,760,453,61
13660,760,645,47
5138,760,307,60
4354,760,185,42
3513,760,191,54
3244,765,262,81
6942,765,201,29
8233,765,777,94
11453,765,665,58
4241,765,246,58
4730,770,441,93
5174,770,190,37
5303,770,294,55
4960,770,357,72
6743,770,458,68
3052,775,305,100
6273,775,593,95
6478,775,515,80
5320,775,331,62
5153,775,338,66
3053,775,294,96
4000,775,275,69
3323,775,201,61
5100,775,364,71
3123,775,420,135
8346,775,735,88
19906,775,2627,132
6875,775,496,72
3003,775,292,97
9079,775,366,40
13970,775,927,66
5138,775,197,38
9478,775,597,63
4284,775,319,75
4166,775,297,71
5922,775,263,44
8640,775,399,46
4242,780,355,84
6273,780,229,36
3681,780,206,56
4502,780,236,52
12189,785,1175,96
3804,785,275,72
3884,785,368,95
3370,785,100,30
3184,785,112,35
4052,785,207,51
3260,785,95,29
6337,790,499,79
6005,790,522,87
3515,795,280,80
7560,795,656,87
3231,795,146,45
3651,795,168,46
3378,800,403,119
3066,800,270,88
4591,800,868,189
5086,800,493,97
3053,800,206,67
5850,800,594,102
5971,800,400,67
7625,800,650,85
6888,800,543,79
4100,800,286,70
3869,800,337,87
3758,800,281,75
8350,800,703,84
6301,800,498,79
6723,800,764,114
9123,800,751,82
4777,800,399,84
5332,800,415,78
4820,800,338,70
3594,800,237,66
3624,800,252,70
4980,800,212,42
3011,800,142,47
4748,800,220,46
5290,800,228,43
6039,800,451,75
6869,800,220,32
13130,800,367,28
14249,800,947,66
7308,800,340,47
12331,800,311,25
13619,800,1044,77
13713,800,900,66
12636,800,768,61
3204,800,277,86
4184,800,355,85
3798,800,232,61
8160,800,381,47
18267,805,1209,66
19127,805,486,25
3218,810,670,208
6712,810,573,85
4874,810,295,61
4444,810,548,123
3647,810,331,91
6387,810,338,53
3494,810,293,84
4638,810,316,68
6481,810,521,80
4894,810,354,72
4428,810,246,56
6926,815,710,103
4349,815,370,85
10960,815,659,60
3029,815,285,94
3424,815,205,60
6962,815,354,51
5664,815,204,36
3226,815,308,96
5118,820,469,92
3333,820,143,43
8593,820,473,55
4484,820,320,71
4616,825,612,132
9411,825,930,99
3030,825,171,57
